id,starts,ends,duration,session_id,trial_id,t0,prod_onset_t0,prod_onset,prod_offset,stim_onset,stim_offset,prod_offset_t0,stim_onset_t0,stim_offset_t0
1,45495.3960296352,45508.9079398087,13.5119101734963,1,1,45501.3960296352,0,45501.3960296352,45502.9079398087,NaN,NaN,1.51191017349629,NaN,NaN
2,45502.0356232542,45515.4648545119,13.4292312576945,1,2,45508.0356232542,0,45508.0356232542,45509.4648545119,NaN,NaN,1.42923125769448,NaN,NaN
3,45508.4485732935,45522.0211326717,13.5725593782045,1,3,45514.4485732935,0,45514.4485732935,45516.0211326717,NaN,NaN,1.57255937820446,NaN,NaN
4,45514.9356677629,45528.3861287423,13.4504609794021,1,4,45520.9356677629,0,45520.9356677629,45522.3861287423,NaN,NaN,1.45046097940212,NaN,NaN
5,45521.8274666952,45535.2216984118,13.3942317166002,1,5,45527.8274666952,0,45527.8274666952,45529.2216984118,NaN,NaN,1.39423171660019,NaN,NaN
6,45529.7515524349,45543.4275404568,13.6759880219033,1,6,45535.7515524349,0,45535.7515524349,45537.4275404568,NaN,NaN,1.67598802190332,NaN,NaN
7,45535.2055512568,45548.6210826942,13.4155314374002,1,7,45541.2055512568,0,45541.2055512568,45542.6210826942,NaN,NaN,1.4155314374002,NaN,NaN
8,45541.0756103696,45554.526521343,13.4509109734063,1,8,45547.0756103696,0,45547.0756103696,45548.526521343,NaN,NaN,1.45091097340628,NaN,NaN
9,45546.7188690084,45560.3965970075,13.6777279991002,1,9,45552.7188690084,0,45552.7188690084,45554.3965970075,NaN,NaN,1.67772799910017,NaN,NaN
10,45552.4924299613,45565.9510508336,13.4586208723049,1,10,45558.4924299613,0,45558.4924299613,45559.9510508336,NaN,NaN,1.45862087230489,NaN,NaN
11,45557.721618283,45571.2105287581,13.4889104750982,1,11,45563.721618283,0,45563.721618283,45565.2105287581,NaN,NaN,1.48891047509824,NaN,NaN
12,45563.0161303457,45576.6530888794,13.6369585337015,1,12,45569.0161303457,0,45569.0161303457,45570.6530888794,NaN,NaN,1.63695853370155,NaN,NaN
13,45568.6656983271,45582.188558357,13.5228600298942,1,13,45574.6656983271,0,45574.6656983271,45576.188558357,NaN,NaN,1.52286002989422,NaN,NaN
14,45574.194229045,45587.710449162,13.5162201169951,1,14,45580.194229045,0,45580.194229045,45581.710449162,NaN,NaN,1.5162201169951,NaN,NaN
15,45579.4435599761,45593.068378669,13.6248186929006,1,15,45585.4435599761,0,45585.4435599761,45587.068378669,NaN,NaN,1.62481869290059,NaN,NaN
